"rowid","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"3","Adelie","Torgersen",40.3,18,195,3250,"female",2007
"4","Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"5","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"6","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"7","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"8","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"9","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"10","Adelie","Torgersen",42,20.2,190,4250,NA,2007
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007
"12","Adelie","Torgersen",37.8,17.3,180,3700,NA,2007
"13","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"15","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"16","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"17","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"18","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"19","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"20","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"21","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"22","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"23","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007
"24","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"25","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"26","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"27","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"28","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007
"29","Adelie","Biscoe",37.9,18.6,172,3150,"female",2007
"30","Adelie","Biscoe",40.5,18.9,180,3950,"male",2007
"31","Adelie","Dream",39.5,16.7,178,3250,"female",2007
"32","Adelie","Dream",37.2,18.1,178,3900,"male",2007
"33","Adelie","Dream",39.5,17.8,188,3300,"female",2007
"34","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"35","Adelie","Dream",36.4,17,195,3325,"female",2007
"36","Adelie","Dream",39.2,21.1,196,4150,"male",2007
"37","Adelie","Dream",38.8,20,190,3950,"male",2007
"38","Adelie","Dream",42.2,18.5,180,3550,"female",2007
"39","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"40","Adelie","Dream",39.8,19.1,184,4650,"male",2007
"41","Adelie","Dream",36.5,18,182,3150,"female",2007
"42","Adelie","Dream",40.8,18.4,195,3900,"male",2007
"43","Adelie","Dream",36,18.5,186,3100,"female",2007
"44","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"45","Adelie","Dream",37,16.9,185,3000,"female",2007
"46","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"47","Adelie","Dream",41.1,19,182,3425,"male",2007
"48","Adelie","Dream",37.5,18.9,179,2975,NA,2007
"49","Adelie","Dream",36,17.9,190,3450,"female",2007
"50","Adelie","Dream",42.3,21.2,191,4150,"male",2007
"153","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007
"154","Gentoo","Biscoe",50,16.3,230,5700,"male",2007
"155","Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007
"156","Gentoo","Biscoe",50,15.2,218,5700,"male",2007
"157","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"158","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"159","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"160","Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"161","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"162","Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"163","Gentoo","Biscoe",40.9,13.7,214,4650,"female",2007
"164","Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"165","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"166","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007
"167","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"168","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007
"169","Gentoo","Biscoe",42,13.5,210,4150,"female",2007
"170","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"171","Gentoo","Biscoe",46.2,14.5,209,4800,"female",2007
"172","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"173","Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007
"174","Gentoo","Biscoe",45.1,14.5,215,5000,"female",2007
"175","Gentoo","Biscoe",46.5,14.5,213,4400,"female",2007
"176","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"177","Gentoo","Biscoe",42.9,13.1,215,5000,"female",2007
"178","Gentoo","Biscoe",46.1,15.1,215,5100,"male",2007
"179","Gentoo","Biscoe",44.5,14.3,216,4100,NA,2007
"180","Gentoo","Biscoe",47.8,15,215,5650,"male",2007
"181","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"182","Gentoo","Biscoe",50,15.3,220,5550,"male",2007
"183","Gentoo","Biscoe",47.3,15.3,222,5250,"male",2007
"184","Gentoo","Biscoe",42.8,14.2,209,4700,"female",2007
"185","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
